Ente;Liste/Gruppi;Voti;Year;
ITALIA;VERDI-VERDI;25788;1996;
ITALIA;SARDIGNA NATZIONE;23355;1996;
ITALIA;GR.INDIP.LIBERTA';17451;1996;
ITALIA;AMBIENTALISTI;15560;1996;
ITALIA;PART.UMANISTA;14601;1996;
ITALIA;RINNOVAMENTO;13677;1996;
ITALIA;PATTO PER L'AGRO;12297;1996;
ITALIA;DEMOCRAZIA SOCIALE;9319;1996;
ITALIA;MOV.RIN.IT.;8886;1996;
ITALIA;MOV.AUT.TOSCANO;8627;1996;
ITALIA;PART.LEGGE NATURALE;8298;1996;
ITALIA;NUOVA DEMOCRAZIA;8185;1996;
ITALIA;FEDERALISTI LIBERALI;6475;1996;
ITALIA;PER LE MARCHE;5545;1996;
ITALIA;NUOVE ENERGIE;5393;1996;
ITALIA;SVILUPPO-LEGALITA';5347;1996;
ITALIA;NORD LIBERO AUT.;4965;1996;
ITALIA;PART.FEDERAL.;3743;1996;
ITALIA;RISORGIMENTO DEL SUD;3084;1996;
ITALIA;DC;14209519;1976;
ITALIA;PCI;12614650;1976;
ITALIA;PSI;3540309;1976;
ITALIA;MSI-DN;2238339;1976;
ITALIA;PSDI;1239492;1976;
ITALIA;PRI;1135546;1976;
ITALIA;DEM.PROL;557025;1976;
ITALIA;PLI;480122;1976;
ITALIA;P.RAD;394439;1976;
ITALIA;PPST;184375;1976;
ITALIA;PCI-PSI-PDUP;26748;1976;
ITALIA;DC-RV-UV-UVP-PRI;24091;1976;
ITALIA;DEM.POP-UVP M.REG;20234;1976;
ITALIA;NPP;10927;1976;
ITALIA;UNIONE SLOVENA;8183;1976;
ITALIA;TIROL.;7664;1976;
ITALIA;POE;5522;1976;
ITALIA;MOV.IND.TLT;4540;1976;
ITALIA;P.DEM.;2797;1976;
ITALIA;PART.SIN.DEM.;1757;1976;
ITALIA;UN.BEN.CIV.;1299;1976;
ITALIA;DC;12437848;1968;
ITALIA;PCI;8551347;1968;
ITALIA;PSU;4603192;1968;
ITALIA;PLI;1850650;1968;
ITALIA;PSIUP;1414697;1968;
ITALIA;MSI;1414036;1968;
ITALIA;PRI;626533;1968;
ITALIA;PDIUM;414507;1968;
ITALIA;PPST;152991;1968;
ITALIA;SOCIALDEMOCRAZIA;100212;1968;
ITALIA;NUOVA REPUBBLICA;63402;1968;
ITALIA;PAPI;41716;1968;
ITALIA;UV;31557;1968;
ITALIA;PS D'AZ.;27228;1968;
ITALIA;PART.MON.NAZ.;18883;1968;
ITALIA;MOV.SOC.;6551;1968;
ITALIA;UNIONE SLOVENA;6142;1968;
ITALIA;PST.PROG.SOC.;5740;1968;
ITALIA;UN.NAZ.SAL.PUB.;3697;1968;
ITALIA;"RAG.VOL.""T""";3158;1968;
ITALIA;PART.ORD.ECON.;3013;1968;
ITALIA;PART.DEM.PROG.;2208;1968;
ITALIA;PART.AGRICOLTORI;2061;1968;
ITALIA;RAGGR.ITAL.;1807;1968;
ITALIA;P.COM.RIVOL.;1798;1968;
ITALIA;P.RAD;1540;1968;
ITALIA;RIS.POP.;1196;1968;
ITALIA;SACRO IDEAL.MONDO;1126;1968;
ITALIA;P.PROG.UNSIPO;1068;1968;
ITALIA;PART.NAZ.MUT.COMB.IT;524;1968;
ITALIA;DC;12740042;1948;
ITALIA;FR.DEMOCR.POPOLARE;8136637;1948;
ITALIA;UNITA' SOCIALISTA;1858116;1948;
ITALIA;BLOCCO NAZIONALE;1003727;1948;
ITALIA;P.NAZ.MON.ALL.D.LAV.;729078;1948;
ITALIA;PRI;651875;1948;
ITALIA;MSI;526882;1948;
ITALIA;PPST;124243;1948;
ITALIA;P.CONTADINI D'ITALIA;95914;1948;
ITALIA;PARTITO CRISTIANO SOCIALE;72854;1948;
ITALIA;PS D'AZ.;61928;1948;
ITALIA;MOV.NAZ.DEM.SOC.;56096;1948;
ITALIA;UN.MOV.FEDERALISTI;52655;1948;
ITALIA;BLOCCO POP.UNIONISTA;35899;1948;
ITALIA;PC.INTERNAZIONALISTA;20736;1948;
ITALIA;FR.DEM.PROG.REPUB.;14482;1948;
ITALIA;CONC.NAZ.COMBAT.UNIT;11396;1948;
ITALIA;ALTRE LISTE;10545;1948;
ITALIA;P.DEMOLABURISTA IT.;10002;1948;
ITALIA;P.DEM.IND.PENSIONATI;8125;1948;
ITALIA;P.INDIPENDENTE CONTADINI;6733;1948;
ITALIA;FR.DEGLI ITALIANI;5481;1948;
ITALIA;GR.POL.LA DESTRA;4300;1948;
ITALIA;AS.NAZ.CONG.DIS.GUER;3707;1948;
ITALIA;P.PATRIA E LIBERTA';3178;1948;
ITALIA;CONC.RUR.IND.AOSTA;2906;1948;
