Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide;Year
"PUGLIA ";2771204;2256835;136804;249989;1994
"BASILICATA ";442003;348626;24701;49986;1994
"CALABRIA ";1498460;1063744;89227;158205;1994
"SICILIA ";3676578;2720825;158586;352367;1994
"SARDEGNA ";1151540;939235;44554;85024;1994
"PIEMONTE ";2724853;2597921;118854;162717;1963
"VALLE D'AOSTA ";65703;61116;2405;3412;1963
"LOMBARDIA ";4781985;4593600;129980;185565;1963
"TRENTINO-ALTO ADIGE ";463956;437289;17132;22473;1963
"VENETO ";2317743;2197576;62744;96853;1963
"FRIULI-VENEZIA GIULIA ";799382;725492;17821;29068;1963
"LIGURIA ";1223822;1147642;40955;56587;1963
"EMILIA-ROMAGNA ";2445884;2365454;74501;98886;1963
"TOSCANA ";2207423;2126543;71199;95798;1963
"UMBRIA ";513273;483982;16885;25906;1963
"MARCHE ";854230;807801;26107;38252;1963
"LAZIO ";2411496;2263058;61138;100551;1963
"ABRUZZI E MOLISE ";974476;836201;24388;49139;1963
"CAMPANIA ";2576816;2315878;56758;120441;1963
"PUGLIA ";1815233;1676842;40093;77909;1963
"BASILICATA ";350954;314037;8292;20159;1963
"CALABRIA ";1083423;935278;32562;60753;1963
"SICILIA ";2662324;2317443;52608;127501;1963
"SARDEGNA ";746257;668899;16234;30780;1963
